                x           y           z
534     26.655526   17.358803 -241.116653
535     26.377975   17.672225 -242.185428
536     25.603025   18.543623 -246.192546
537     25.181202   19.021227 -246.757482
538     24.610354   19.667883 -245.847080
539     24.329689   19.992771 -240.476761
540     23.832479   20.564506 -232.692804
541     23.742638   20.686382 -225.994714
542     23.382437   21.119737 -222.827871
543     22.058354   22.617723 -223.302881
544     21.202801   23.796891 -226.689391
545     21.008541   24.390751 -232.316086
546     21.005290   24.658392 -238.215518
547     20.825047   24.859695 -240.104277
548     20.262352   25.165069 -244.092209
549     19.131946   25.709643 -242.851680
550     18.558517   25.975487 -239.750554
551     18.544205   25.971668 -241.518830
552     18.740341   25.869043 -239.505723
553     19.531099   25.482218 -238.024323
554     19.921184   25.289604 -239.946003
555     19.711582   25.385834 -242.897489
556     18.535426   25.946588 -250.933735
557     16.681355   26.831721 -256.049903
558     15.743846   27.271721 -256.720697
559     15.151130   27.540635 -251.678205
560     15.453445   27.371263 -246.701199
561     15.808459   27.166671 -247.402068
562     15.862418   27.093281 -247.449935
563     14.653159   27.609035 -251.324165
564     13.762621   27.943528 -253.058645
565     12.099769   28.611099 -250.352271
566      9.626551   29.603655 -243.192705
567      7.548260   30.389267 -237.263304
568      6.039985   30.880076 -232.259309
569      4.901998   31.146529 -231.231978
570      5.139981   31.212693 -231.965518
571      5.376500   31.218142 -235.616592
572      6.043844   31.175523 -238.515746
573      6.614401   31.132791 -236.870325
574      6.483856   31.131002 -235.469394
575      6.461610   31.125999 -236.215694
576      7.076578   31.087326 -237.503073
577      6.773650   31.101603 -242.331451
578      6.646653   31.106129 -243.999100
579      6.808901   31.093733 -243.750545
580      6.727546   31.093826 -243.968246
581      5.908507   31.133616 -244.034824
582      4.268263   31.217006 -244.163036
583      2.476761   31.305092 -245.550366
584      1.419310   31.346380 -245.505828
585      0.161671   31.391362 -243.514479
586     -1.185868   31.430688 -241.214548
587     -2.257987   31.439316 -240.162743
588     -3.505680   31.451297 -240.235746
589     -4.770626   31.336258 -244.433120
590     -6.196169   31.027560 -250.311711
591     -6.491513   31.014605 -252.959374
592     -6.834585   30.927715 -251.241739
593     -7.167535   30.817311 -248.616097
594     -6.409546   31.078557 -246.335657
595     -6.393052   31.078867 -243.360704
596     -6.621412   30.994773 -245.468297
597     -6.995793   30.861303 -247.955074
598     -7.071501   30.833545 -249.103372
599     -6.492593   31.035437 -247.664122
600     -5.666635   31.324082 -247.254101
601     -5.408747   31.414245 -248.563323
602     -5.632524   31.336015 -248.151350
603     -6.212636   31.133171 -245.621390
604     -6.760276   30.941636 -242.737964
605     -7.302123   30.752076 -243.626984
606     -6.865238   30.904650 -243.536738
607     -6.170594   31.147256 -242.152576
608     -5.636619   31.333574 -239.373439
609     -5.580312   31.352721 -239.051052
610     -6.185745   31.140280 -238.514449
611     -6.433526   31.052581 -236.161469
612     -6.315552   31.092326 -235.330471
613     -6.809945   30.917352 -234.577420
614     -6.703207   30.951675 -238.018710
615     -7.302874   30.737777 -237.145548
616     -7.968230   30.499159 -238.639748
617     -7.963365   30.492404 -240.026830
618     -8.076523   30.440893 -242.395977
619     -8.748431   30.189089 -245.052505
620     -8.867861   30.123474 -245.652102
621     -8.506017   30.216267 -247.614927
622     -8.292884   30.243132 -248.454550
623     -9.593496   29.721053 -246.832702
624    -11.683502   28.895159 -245.336039
625    -14.099475   27.922871 -249.763561
626    -16.024848   27.060988 -253.215744
627    -18.175288   25.634459 -255.341849
628    -19.333548   24.833560 -253.079395
629    -19.512064   24.758629 -249.101690
630    -18.878501   25.339023 -244.819893
631    -18.951339   25.263393 -244.362512
632    -19.453155   24.800470 -247.854757
633    -19.832157   24.450484 -250.804833
634    -19.945483   24.342126 -251.110062
635    -19.485123   24.749402 -246.601002
636    -18.912988   25.258288 -241.292499
637    -18.247087   25.851558 -238.872045
638    -17.526056   26.493944 -240.501799
639    -17.359702   26.640253 -240.778401
640    -18.373389   25.731491 -242.873895
641    -18.991656   25.174433 -242.456094
642    -18.971304   25.185727 -244.763340
643    -18.352965   25.728250 -250.823875
644    -18.319893   25.743949 -254.629828
645    -18.164970   25.862761 -254.991550
646    -18.247096   25.761758 -257.372172
647    -18.788788   25.238863 -256.666440
648    -18.780469   25.191108 -256.933052
649    -19.186261   24.750665 -256.345072
650    -20.303871   23.642204 -256.319101
651    -21.665984   22.269842 -253.569427
652    -22.768671   21.064884 -249.988473
653    -24.457681   19.158944 -248.129273
654    -25.425535   18.401147 -244.593174
655    -26.092616   17.775264 -244.682670
656    -26.204266   17.921350 -247.786611
657    -26.516388   17.422195 -249.082777
658    -26.605798   17.271795 -245.273212
659    -26.319686   17.856501 -243.599575
660    -25.830217   18.853028 -245.972269
661    -25.785870   18.928746 -247.062587
662    -25.868530   18.746683 -244.420897
663    -25.934566   18.603858 -243.017195
664    -25.963519   18.540852 -241.840802
665    -25.908007   18.654410 -243.252044
666    -25.887468   18.695613 -242.051254
667    -25.920373   18.625506 -244.399334
668    -26.391895   17.644333 -244.189668
669    -26.572161   17.266310 -245.112021
670    -26.406239   17.604944 -245.263147
671    -26.462031   17.481050 -241.700087
672    -26.135607   18.146938 -237.516801
673    -26.072355   18.261929 -234.307348
674    -26.661585   17.016193 -234.958533
675    -27.240066   15.783267 -237.977875
676    -27.425451   15.352693 -241.015767
677    -27.264097   15.622743 -243.639572
678    -27.352401   15.347940 -245.602849
679    -27.629240   14.644073 -248.673227
680    -27.668527   14.379730 -249.672252
681    -28.217782   12.981574 -249.214999
682    -28.665150   11.688145 -244.911250
683    -29.598196    9.066149 -242.092568
684    -30.332434    7.751711 -238.060883
685    -30.731244    8.082249 -236.522691
686    -30.930190    8.387621 -240.398338
687    -31.039476    8.041880 -243.584642
688    -31.081648    7.732263 -250.009114
689    -31.042550    8.386866 -254.121936
690    -31.020217    8.613274 -252.817927
691    -30.995403    8.893066 -248.903006
692    -30.975339    9.134099 -249.766760
693    -30.975094    9.062379 -249.496688
694    -30.969952    9.097868 -248.780734
695    -30.992017    8.653487 -247.467757
696    -31.021378    8.067693 -248.040770
697    -31.088378    6.790008 -245.411236
698    -31.132815    5.874413 -239.553610
699    -31.124645    5.837154 -234.227207
700    -31.113604    5.774549 -231.170353
701    -31.155354    4.668809 -227.336008
702    -31.187332    3.585092 -225.650302
703    -31.216311    2.340996 -227.058112
704    -31.216411    1.307121 -223.585965
705    -31.167404    0.717357 -219.078646
706    -31.167136   -1.338968 -207.248686
707    -31.108123   -4.068121 -190.565736
708    -31.301892   -5.422626 -178.049861
709    -31.121498   -7.060986 -168.365356
710    -31.075237   -7.735521 -162.944294
711    -30.899934   -8.440285 -163.455145
712    -30.836577   -8.662335 -162.062444
713    -31.004110   -8.163768 -161.236995
714    -31.454879   -6.843549 -163.973335
715    -31.669654   -6.204600 -168.602977
716    -31.619356   -6.333329 -171.430408
717    -31.415926   -6.907548 -172.276051
718    -31.558497   -6.496718 -171.393074
719    -31.656798   -6.214817 -173.852669
720    -31.378513   -7.010918 -173.670611
721    -31.247816   -7.385129 -171.802511
722    -30.867182   -8.474167 -167.606851
723    -30.696904   -8.961484 -166.216209
724    -30.852011   -8.518085 -167.876116
725    -31.303584   -7.226741 -163.858671
726    -31.728959   -6.010343 -160.970820
727    -31.860341   -5.634872 -161.220338
728    -31.988105   -5.269873 -162.405459
729    -32.137235   -4.843929 -163.526226
730    -32.329036   -4.296203 -166.487153
731    -32.301825   -4.375249 -170.043309
732    -31.931004   -5.437581 -172.516394
733    -31.449082   -6.818381 -174.772847
